Timestamp,People Count,Limit Threshold,Density Level,Overcrowded,Zone Distribution
2026-07-13 15:36:16,0,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:36:18,0,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:36:20,1,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:1,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:36:22,1,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:1,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:36:24,0,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:36:27,0,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:36:29,0,2,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:36:31,0,1,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:36:33,1,1,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:1,Zone R3C3:0"
2026-07-13 15:36:35,1,1,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:1,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:36:37,0,1,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:36:39,0,1,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:36:41,0,1,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:36:43,0,1,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:36:45,2,1,Low,1,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:1,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:1,Zone R3C3:0"
2026-07-13 15:36:47,2,1,Low,1,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:2,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
